country,payment_date,total_amount
South Africa,29:33.0,9.99
Nigeria,28:10.0,9.99
China,23:15.0,9.99
Brazil,34:09.0,9.99
Czech Republic,01:19.0,9.99
Brazil,11:07.0,9.99
China,19:52.0,9.99
India,36:52.0,9.99
Thailand,03:08.0,9.99
Taiwan,27:32.0,9.99
South Africa,51:38.0,9.99
Netherlands,41:16.0,9.99
Brazil,06:33.0,9.99
Philippines,37:35.0,9.99
Saudi Arabia,52:35.0,9.99
New Zealand,32:39.0,9.99
United States,31:58.0,9.99
Nigeria,18:00.0,9.99
India,19:54.0,9.99
"Congo, The Democratic Republic of the",49:12.0,9.99
Brazil,27:18.0,9.99
Poland,17:27.0,9.99
Netherlands,25:33.0,9.99
Liechtenstein,42:15.0,9.99
Madagascar,02:43.0,9.99
India,36:07.0,9.99
Indonesia,24:58.0,9.99
China,10:33.0,9.99
Bahrain,01:56.0,9.99
Egypt,37:05.0,9.99
Japan,13:08.0,9.99
Germany,52:20.0,9.99
Kazakstan,14:56.0,9.99
Argentina,18:04.0,9.99
Germany,57:41.0,9.99
Colombia,54:24.0,9.99
Turkey,49:07.0,9.99
Ecuador,57:38.0,9.99
Puerto Rico,29:19.0,9.99
China,37:06.0,9.99
Spain,30:58.0,9.99
Ecuador,34:43.0,9.99
Mexico,17:08.0,9.99
United States,31:06.0,9.99
United States,48:56.0,9.99
Brazil,13:10.0,9.99
Japan,20:40.0,9.99
China,46:51.0,9.99
Brazil,19:42.0,9.99
Armenia,24:50.0,9.99
Canada,34:19.0,9.99
Romania,26:17.0,9.99
China,14:29.0,9.99
Philippines,41:19.0,9.99
Ukraine,41:20.0,9.99
India,17:31.0,9.99
Spain,53:32.0,9.99
Japan,37:13.0,9.99
Angola,04:00.0,9.99
Mexico,11:10.0,9.99
Mexico,59:42.0,9.99
Japan,04:21.0,9.99
Tanzania,41:43.0,9.99
United States,54:38.0,9.99
China,18:07.0,9.99
Argentina,48:56.0,9.99
India,21:17.0,9.99
Philippines,16:33.0,9.99
Canada,05:13.0,9.99
Argentina,09:33.0,9.99
Morocco,39:50.0,9.99
Indonesia,28:50.0,9.99
Israel,26:16.0,9.99
Japan,55:06.0,9.99
Vietnam,53:44.0,9.99
Bangladesh,54:41.0,9.99
India,25:42.0,9.99
Greenland,00:37.0,9.99
South Africa,32:37.0,9.99
Argentina,17:33.0,9.99
Mexico,32:57.0,9.99
China,55:14.0,9.99
Japan,30:52.0,9.99
Nauru,44:10.0,9.99
Colombia,46:54.0,9.99
Turkey,13:23.0,9.99
Iran,44:00.0,9.99
Ukraine,17:12.0,9.99
India,23:00.0,9.99
United States,16:02.0,9.99
Russian Federation,40:54.0,9.99
Morocco,11:52.0,9.99
India,12:44.0,9.99
Italy,20:21.0,9.99
Colombia,17:15.0,9.99
United States,27:05.0,9.99
Iraq,29:36.0,9.99
China,40:00.0,9.99
China,15:11.0,9.99
Spain,38:08.0,9.99
Canada,01:16.0,9.99
Philippines,33:16.0,9.99
Switzerland,18:52.0,9.99
Taiwan,16:11.0,9.99
Saudi Arabia,12:37.0,9.99
China,42:16.0,9.99
United Kingdom,34:03.0,9.99
Egypt,58:29.0,9.99
Dominican Republic,39:31.0,9.99
United Kingdom,16:55.0,9.99
Belarus,03:34.0,9.99
Morocco,57:51.0,9.99
Egypt,16:10.0,9.99
United Kingdom,50:31.0,9.99
China,44:40.0,9.99
United States,30:38.0,9.99
Iran,43:59.0,9.99
Malaysia,34:59.0,9.99
Liechtenstein,52:51.0,9.99
Spain,44:30.0,9.98
Cambodia,44:30.0,9.96
Indonesia,17:27.0,8.99
Greece,46:34.0,8.99
Indonesia,29:30.0,8.99
Mexico,33:41.0,8.99
Austria,20:01.0,8.99
South Africa,48:17.0,8.99
Pakistan,51:38.0,8.99
India,28:46.0,8.99
India,59:50.0,8.99
Argentina,53:51.0,8.99
Iran,38:26.0,8.99
India,59:09.0,8.99
Philippines,59:30.0,8.99
Switzerland,39:23.0,8.99
Turkey,40:06.0,8.99
Poland,53:54.0,8.99
Vietnam,32:50.0,8.99
Ukraine,57:24.0,8.99
India,08:48.0,8.99
Turkey,38:26.0,8.99
China,50:27.0,8.99
Russian Federation,48:19.0,8.99
United States,19:29.0,8.99
Bolivia,48:58.0,8.99
India,09:32.0,8.99
Russian Federation,31:45.0,8.99
Sweden,41:09.0,8.99
South Africa,58:40.0,8.99
Russian Federation,02:50.0,8.99
Iran,55:43.0,8.99
Italy,48:01.0,8.99
Indonesia,18:08.0,8.99
China,38:30.0,8.99
Philippines,11:01.0,8.99
Latvia,40:19.0,8.99
Netherlands,30:15.0,8.99
Holy See (Vatican City State),06:09.0,8.99
China,30:03.0,8.99
Nigeria,03:21.0,8.99
China,57:27.0,8.99
Russian Federation,57:35.0,8.99
Mexico,50:31.0,8.99
China,01:29.0,8.99
Ukraine,14:23.0,8.99
Italy,25:20.0,8.99
Germany,05:09.0,8.99
Argentina,33:45.0,8.99
Yemen,17:49.0,8.99
Mexico,48:02.0,8.99
Mexico,03:30.0,8.99
China,36:40.0,8.99
Runion,54:40.0,8.99
United Kingdom,16:10.0,8.99
Turkey,01:00.0,8.99
Mexico,32:54.0,8.99
Malaysia,37:21.0,8.99
Greenland,24:30.0,8.99
Brazil,36:26.0,8.99
Tanzania,20:08.0,8.99
Russian Federation,54:56.0,8.99
India,27:08.0,8.99
India,22:34.0,8.99
India,04:49.0,8.99
China,43:28.0,8.99
China,09:25.0,8.99
Taiwan,26:39.0,8.99
China,26:27.0,8.99
United States,08:34.0,8.99
United Kingdom,41:11.0,8.99
French Guiana,16:32.0,8.99
India,28:01.0,8.99
Nigeria,34:21.0,8.99
Japan,27:25.0,8.99
India,44:27.0,8.99
China,33:08.0,8.99
China,38:11.0,8.99
India,37:16.0,8.99
Hong Kong,48:30.0,8.99
Iran,29:16.0,8.99
Argentina,52:15.0,8.99
Egypt,56:26.0,8.99
India,22:16.0,8.99
Brazil,33:54.0,8.99
United States,57:00.0,8.99
Dominican Republic,28:55.0,8.99
United Kingdom,14:01.0,8.99
Netherlands,35:20.0,8.99
Ukraine,19:18.0,8.99
Venezuela,31:25.0,8.99
Runion,55:46.0,8.99
India,46:51.0,8.99
Argentina,54:46.0,8.99
Ukraine,08:35.0,8.99
Colombia,09:44.0,8.99
Yugoslavia,25:41.0,8.99
Russian Federation,13:21.0,8.99
Brazil,51:53.0,8.99
South Africa,56:03.0,8.99
Argentina,29:52.0,8.99
United States,03:23.0,8.99
Poland,55:05.0,8.99
Puerto Rico,46:11.0,8.99
Vietnam,39:22.0,8.99
Russian Federation,29:54.0,8.99
Greece,19:15.0,8.99
South Korea,06:38.0,8.99
United Kingdom,31:51.0,8.99
Bangladesh,01:37.0,8.99
Iraq,52:21.0,8.99
Cambodia,57:20.0,8.99
United States,49:09.0,8.99
Brazil,28:16.0,8.99
Ecuador,25:35.0,8.99
Russian Federation,02:05.0,8.99
Russian Federation,05:24.0,8.99
Pakistan,02:20.0,8.99
China,38:33.0,8.99
Dominican Republic,19:12.0,8.99
Myanmar,55:45.0,8.99
India,52:08.0,8.99
Japan,10:47.0,8.99
India,19:25.0,8.99
China,48:03.0,8.99
Egypt,46:43.0,8.99
United States,45:10.0,8.99
Austria,25:11.0,8.99
Ukraine,24:36.0,8.99
Nigeria,04:32.0,8.99
Afghanistan,38:06.0,8.99
Ukraine,16:50.0,8.99
Japan,13:06.0,8.99
Ecuador,03:53.0,8.99
China,23:06.0,8.99
Turkmenistan,11:07.0,8.99
Sudan,04:49.0,8.99
Italy,21:49.0,8.99
Russian Federation,30:07.0,8.99
Chile,11:17.0,8.99
United States,50:02.0,8.99
India,46:21.0,8.99
China,44:33.0,8.99
Mexico,10:56.0,8.99
South Africa,22:11.0,8.99
Nigeria,31:18.0,8.99
India,15:21.0,8.99
Vietnam,55:30.0,8.99
Sweden,51:53.0,8.99
Gambia,47:40.0,8.99
Bangladesh,27:27.0,8.99
India,40:22.0,8.99
Nigeria,14:26.0,8.99
Japan,15:55.0,8.99
Russian Federation,47:03.0,8.99
Brazil,13:10.0,8.99
India,38:30.0,8.99
Turkey,22:41.0,8.99
Taiwan,30:15.0,8.99
Faroe Islands,41:03.0,8.99
Philippines,05:58.0,8.99
Mexico,05:56.0,8.99
Pakistan,40:28.0,8.99
India,53:16.0,8.99
Tunisia,25:14.0,8.99
Russian Federation,34:42.0,8.99
South Korea,25:29.0,8.99
Nigeria,11:34.0,8.99
Poland,49:49.0,8.99
Brazil,56:11.0,8.99
Czech Republic,54:44.0,8.99
Mexico,35:14.0,8.99
Algeria,44:27.0,8.99
United States,20:40.0,8.99
Angola,11:09.0,8.99
India,27:16.0,8.99
Greece,02:32.0,8.99
Taiwan,47:45.0,8.99
India,00:59.0,8.99
China,01:19.0,8.99
Russian Federation,52:11.0,8.99
China,33:17.0,8.99
India,47:03.0,8.99
United States,15:00.0,8.99
Colombia,13:11.0,8.99
Indonesia,29:29.0,8.99
Yemen,07:39.0,8.99
Philippines,39:23.0,8.99
Yemen,43:19.0,8.99
Senegal,14:22.0,8.99
Iran,56:15.0,8.99
Colombia,35:58.0,8.99
Bulgaria,30:46.0,8.99
Mexico,45:24.0,8.99
Turkey,27:13.0,8.99
Russian Federation,39:31.0,8.99
India,12:50.0,8.99
Philippines,15:14.0,8.99
Kenya,27:09.0,8.99
Iran,36:28.0,8.99
Yemen,17:07.0,8.99
India,14:01.0,8.99
China,44:05.0,8.99
Colombia,09:15.0,8.99
China,31:23.0,8.99
India,42:33.0,8.99
Nigeria,56:24.0,8.99
Nigeria,31:49.0,8.99
Thailand,56:05.0,8.99
Mexico,20:43.0,8.99
Nepal,07:28.0,8.99
China,49:22.0,8.99
Russian Federation,20:30.0,8.99
India,20:20.0,8.99
Philippines,16:30.0,8.99
Bangladesh,24:34.0,8.99
Ukraine,58:20.0,8.99
China,50:47.0,8.99
Mexico,31:39.0,8.99
Israel,49:51.0,8.99
United States,57:36.0,8.99
India,19:19.0,8.99
Algeria,08:05.0,8.99
United States,06:39.0,8.99
India,03:52.0,8.99
Brazil,22:17.0,8.99
Yemen,14:00.0,8.99
Algeria,16:58.0,8.99
Taiwan,47:27.0,8.99
South Korea,06:49.0,8.99
Brazil,31:17.0,8.99
Argentina,22:04.0,8.99
Italy,24:03.0,8.99
United States,45:53.0,8.99
South Korea,49:43.0,8.99
Russian Federation,15:02.0,8.99
Anguilla,26:57.0,8.99
Latvia,14:22.0,8.99
Yugoslavia,22:40.0,8.99
Nigeria,37:17.0,8.99
Bolivia,25:57.0,8.99
India,07:58.0,8.99
Colombia,39:30.0,8.99
United States,57:46.0,8.99
Russian Federation,59:23.0,8.99
Poland,22:07.0,8.99
United States,26:41.0,8.99
India,48:33.0,8.99
Finland,50:17.0,8.99
Japan,15:23.0,8.99
Venezuela,04:13.0,8.99
Mexico,58:38.0,8.99
Indonesia,38:40.0,8.99
China,57:43.0,8.99
Russian Federation,52:24.0,8.99
Russian Federation,56:08.0,8.99
Mexico,33:55.0,8.99
Taiwan,52:49.0,8.99
Russian Federation,51:06.0,8.99
United States,38:38.0,8.99
Philippines,23:03.0,8.99
Venezuela,56:46.0,8.99
Japan,14:32.0,8.99
Paraguay,32:55.0,8.99
India,19:36.0,8.99
Japan,56:54.0,8.99
Peru,35:38.0,8.99
China,14:46.0,8.99
India,11:19.0,8.99
Russian Federation,14:25.0,8.99
China,54:42.0,8.99
India,55:46.0,8.99
United States,18:53.0,8.99
United States,02:37.0,8.99
Nigeria,01:42.0,8.99
Mexico,15:27.0,8.99
Russian Federation,07:14.0,8.99
Taiwan,28:47.0,8.99
Mexico,30:13.0,8.99
Mexico,44:49.0,8.99
Philippines,20:50.0,8.99
Japan,29:39.0,8.99
Saudi Arabia,01:43.0,8.99
Netherlands,45:35.0,8.99
United Kingdom,21:28.0,8.99
Russian Federation,37:16.0,8.99
Argentina,27:18.0,8.99
Chile,32:45.0,8.99
Indonesia,43:07.0,8.99
Austria,54:11.0,8.99
Yemen,49:09.0,8.99
South Africa,48:18.0,8.99
Egypt,14:54.0,8.99
Ecuador,34:55.0,8.99
Japan,15:20.0,8.99
Japan,25:30.0,8.99
Mexico,13:13.0,8.99
Bulgaria,48:46.0,8.99
Yugoslavia,20:32.0,8.99
Russian Federation,24:57.0,8.99
Brazil,57:48.0,8.99
Cambodia,05:46.0,8.99
Iran,45:00.0,8.99
Philippines,54:24.0,8.99
Germany,05:19.0,8.99
Cambodia,22:09.0,8.99
Latvia,33:09.0,8.99
Saudi Arabia,36:28.0,8.99
Japan,01:02.0,8.99
Netherlands,08:06.0,8.99
Egypt,31:55.0,8.99
Italy,49:37.0,8.99
Brazil,59:36.0,8.99
Russian Federation,53:30.0,8.99
China,04:16.0,8.99
Japan,59:12.0,8.99
Romania,54:14.0,8.99
Taiwan,45:31.0,8.99
China,17:36.0,8.99
Mexico,43:38.0,8.99
Russian Federation,22:56.0,8.99
Russian Federation,56:14.0,8.99
Slovakia,30:19.0,8.99
Japan,37:16.0,8.99
Mexico,41:18.0,8.99
Poland,05:55.0,8.99
India,39:31.0,8.99
Brazil,09:03.0,8.99
India,55:10.0,8.99
China,38:23.0,8.99
Poland,44:43.0,8.99
Mexico,41:50.0,8.99
United Arab Emirates,27:37.0,8.99
Philippines,27:48.0,8.99
Faroe Islands,21:07.0,8.99
Nigeria,41:37.0,8.99
Japan,41:00.0,8.99
Philippines,49:53.0,8.99
China,35:13.0,8.99
Belarus,20:35.0,8.99
Colombia,04:05.0,8.99
Myanmar,43:11.0,8.99
China,29:25.0,8.99
South Korea,36:45.0,8.99
Indonesia,54:35.0,8.99
China,37:36.0,8.99
Mexico,43:01.0,8.99
Russian Federation,34:05.0,8.99
Mexico,24:56.0,8.99
Mozambique,31:49.0,8.99
Japan,23:36.0,8.99
India,33:31.0,8.99
Brazil,05:49.0,8.99
Egypt,49:58.0,8.99
Russian Federation,01:57.0,8.99
Turkey,00:38.0,8.99
Philippines,24:22.0,8.99
Turkey,14:00.0,8.99
Philippines,49:26.0,8.99
Thailand,13:26.0,8.99
Japan,20:21.0,8.99
Ukraine,55:59.0,8.99
French Polynesia,45:43.0,8.99
Ukraine,19:34.0,8.99
Philippines,58:01.0,8.99
India,06:36.0,8.99
Canada,34:25.0,8.99
India,41:07.0,8.99
Dominican Republic,49:35.0,8.99
United States,05:27.0,8.99
United States,06:44.0,8.99
Bangladesh,52:34.0,8.99
China,46:22.0,8.99
United Arab Emirates,10:09.0,8.99
China,06:29.0,8.99
Mexico,34:48.0,8.99
Mexico,22:39.0,8.99
Chile,14:57.0,8.99
India,27:46.0,8.99
India,35:52.0,8.99
United States,03:02.0,8.99
Mexico,25:01.0,8.99
Malawi,40:28.0,8.99
Turkey,11:35.0,8.99
India,51:04.0,8.99
China,26:43.0,8.99
Ecuador,18:36.0,8.99
Mexico,28:11.0,8.99
Russian Federation,26:43.0,8.99
China,21:49.0,8.99
Japan,55:36.0,8.99
Bulgaria,04:33.0,8.99
India,37:34.0,8.99
Philippines,36:10.0,8.99
China,53:14.0,8.99
Vietnam,26:49.0,8.99
Morocco,28:22.0,8.99
Chad,09:22.0,8.99
Hungary,57:28.0,8.99
Belarus,57:01.0,8.99
Zambia,49:24.0,8.99
Vietnam,58:33.0,8.99
Nigeria,57:44.0,8.99
Netherlands,39:42.0,8.99
India,25:01.0,8.99
United States,55:40.0,8.99
Vietnam,37:08.0,8.99
India,54:23.0,8.99
United States,03:57.0,8.99
India,26:05.0,8.99
United States,33:38.0,8.99
South Africa,14:59.0,8.99
Ecuador,46:47.0,8.99
Bangladesh,19:21.0,8.99
Ukraine,42:00.0,8.99
South Korea,19:03.0,8.99
South Korea,02:33.0,8.99
Austria,02:01.0,8.99
Vietnam,22:12.0,8.99
Germany,42:01.0,8.99
Israel,01:27.0,8.99
Peru,34:01.0,8.99
Brazil,27:31.0,8.99
"Virgin Islands, U.S.",31:44.0,8.99
Spain,46:08.0,8.99
Paraguay,13:15.0,8.99
Kenya,36:46.0,8.99
Japan,01:42.0,8.99
Bulgaria,36:08.0,8.99
Mexico,45:26.0,8.99
Russian Federation,22:00.0,8.99
Russian Federation,28:28.0,8.99
United States,51:04.0,8.99
Iran,50:09.0,8.99
Thailand,08:06.0,8.99
Italy,42:27.0,8.99
China,53:00.0,8.99
China,41:19.0,8.99
Chad,28:52.0,8.99
Russian Federation,03:00.0,8.99
Vietnam,44:30.0,8.97
Nigeria,44:30.0,8.97
French Polynesia,44:30.0,8.97
Japan,06:43.0,7.99
South Korea,11:49.0,7.99
Philippines,45:36.0,7.99
China,17:51.0,7.99
Japan,22:59.0,7.99
United States,56:00.0,7.99
Brazil,45:01.0,7.99
Bahrain,28:38.0,7.99
China,35:25.0,7.99
Spain,57:42.0,7.99
Estonia,00:52.0,7.99
India,36:41.0,7.99
Yugoslavia,19:59.0,7.99
Bangladesh,01:08.0,7.99
"Virgin Islands, U.S.",32:47.0,7.99
United States,18:03.0,7.99
India,58:03.0,7.99
Brazil,08:55.0,7.99
United Kingdom,45:37.0,7.99
India,42:14.0,7.99
Russian Federation,39:48.0,7.99
Kazakstan,05:27.0,7.99
Algeria,14:15.0,7.99
China,06:09.0,7.99
Greece,27:48.0,7.99
Cameroon,32:42.0,7.99
India,37:13.0,7.99
Ukraine,25:18.0,7.99
Philippines,57:32.0,7.99
Nigeria,09:03.0,7.99
Taiwan,28:40.0,7.99
Mexico,41:02.0,7.99
Argentina,20:54.0,7.99
Japan,42:24.0,7.99
Colombia,01:54.0,7.99
Mexico,43:54.0,7.99
Nigeria,07:49.0,7.99
France,41:12.0,7.99
Japan,58:26.0,7.99
Oman,22:26.0,7.99
Ukraine,38:23.0,7.99
Japan,17:05.0,7.99
India,20:08.0,7.99
India,04:53.0,7.99
Ecuador,54:00.0,7.99
United States,41:32.0,7.99
Kazakstan,56:19.0,7.99
Iran,12:37.0,7.99
French Guiana,30:27.0,7.99
China,42:11.0,7.99
Algeria,00:04.0,7.99
Philippines,03:22.0,7.99
South Africa,39:16.0,7.99
Indonesia,46:43.0,7.99
China,14:51.0,7.99
Senegal,32:21.0,7.99
United States,46:26.0,7.99
Philippines,26:59.0,7.99
Romania,16:07.0,7.99
China,16:45.0,7.99
Morocco,56:58.0,7.99
Venezuela,30:18.0,7.99
Brazil,29:07.0,7.99
Argentina,01:09.0,7.99
Iran,57:14.0,7.99
Vietnam,32:47.0,7.99
Malawi,45:38.0,7.99
Turkey,27:07.0,7.99
Philippines,35:58.0,7.99
Colombia,02:20.0,7.99
Belarus,19:57.0,7.99
Turkey,00:34.0,7.99
Chad,11:34.0,7.99
Mexico,06:03.0,7.99
Azerbaijan,03:58.0,7.99
Turkey,40:25.0,7.99
Indonesia,23:09.0,7.99
Russian Federation,11:55.0,7.99
Brazil,25:18.0,7.99
Mexico,54:16.0,7.99
Philippines,04:40.0,7.99
Argentina,42:23.0,7.99
China,38:03.0,7.99
Puerto Rico,23:47.0,7.99
Thailand,09:46.0,7.99
China,59:10.0,7.99
Romania,14:08.0,7.99
Colombia,00:11.0,7.99
Armenia,38:28.0,7.99
United States,21:36.0,7.99
Brazil,53:32.0,7.99
Venezuela,17:53.0,7.99
India,53:48.0,7.99
Japan,42:13.0,7.99
Mexico,13:44.0,7.99
Brazil,43:16.0,7.99
South Africa,58:30.0,7.99
Netherlands,45:53.0,7.99
Russian Federation,09:40.0,7.99
Italy,44:13.0,7.99
United States,52:10.0,7.99
Russian Federation,04:36.0,7.99
Russian Federation,00:31.0,7.99
Angola,07:20.0,7.99
Japan,39:10.0,7.99
United States,24:13.0,7.99
Japan,51:16.0,7.99
India,30:01.0,7.99
India,59:11.0,7.99
India,44:41.0,7.99
Angola,50:44.0,7.99
India,49:49.0,7.99
South Africa,29:01.0,7.99
Netherlands,25:47.0,7.99
India,47:29.0,7.99
Italy,17:55.0,7.99
Japan,12:44.0,7.99
India,11:30.0,7.99
Argentina,01:36.0,7.99
United Kingdom,59:54.0,7.99
Italy,28:55.0,7.99
Argentina,45:01.0,7.99
India,40:10.0,7.99
China,30:11.0,7.99
Zambia,03:40.0,7.99
Pakistan,28:17.0,7.99
India,17:11.0,7.99
Mexico,28:32.0,7.99
United Kingdom,06:49.0,7.99
Madagascar,30:29.0,7.99
Taiwan,20:26.0,7.99
India,14:50.0,7.99
India,50:53.0,7.99
India,54:40.0,7.99
Bangladesh,24:51.0,7.99
China,08:10.0,7.99
France,54:47.0,7.99
Japan,09:55.0,7.99
Morocco,46:52.0,7.99
India,46:18.0,7.99
Japan,37:15.0,7.99
United States,12:11.0,7.99
Netherlands,31:49.0,7.99
Philippines,40:24.0,7.99
Philippines,19:33.0,7.99
Netherlands,45:33.0,7.99
United States,57:29.0,7.99
Russian Federation,32:32.0,7.99
Peru,51:44.0,7.99
United States,57:37.0,7.99
China,15:06.0,7.99
Japan,41:56.0,7.99
Vietnam,28:00.0,7.99
Yugoslavia,58:30.0,7.99
Japan,16:34.0,7.99
Russian Federation,30:49.0,7.99
Ecuador,05:56.0,7.99
